0 1.97626e-323
1.28106 1.97626e-323
1.8987 1.97626e-323
2.8545 1.97626e-323
4.76791 19.1646
5.36072 17.2954
7.29826 1.97626e-323
7.3622 29.8674
9.05432 41.1649
9.30118 1.97626e-323
9.30751 1.97626e-323
11.6039 1.97626e-323
14.5573 29.8674
14.8566 45.7204
15.2157 14.2157
17.9037 39.4728
18.0069 1.97626e-323
18.5792 49.7423
18.7085 53.5942
18.7375 49.7423
20.5555 55.1428
20.736 45.7204
22.5335 53.5942
25.1778 67.5329
25.2899 67.5329
25.8875 70.8869
26.5738 62.979
30.6347 70.8869
34.552 70.8869
36.6287 1.97626e-323
37.1256 70.8869
39.7183 70.8869
39.8984 73.1567
40.7029 76.734
50.5893 76.734
51.6066 88.6223
62.4081 100.441
63.9651 100.441
66.543 100.441
67.3569 113.01
69.0812 121.715
69.4873 100.441
70.2929 121.715
70.8576 121.715
73.4963 124.918
73.5242 119.991
76.5335 113.01
77.853 124.918
79.5678 126.633
83.121 126.633
87.157 124.918
94.2336 133.71
108.215 133.71
111.82 137.315
117.624 137.315
